Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,11:13_21:23
2020-05-27 23:30:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.64327363924912,162.93465561985306,195.29585746647163,0.0,0.0,335.6245794614081,681.3633734980618,829.3450592454943,0.0,0.0,621.1988740538725,687.7974637256201,649.9705413698832,0.0,635.1015830289276
2020-05-27 23:31:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.7870842367949,162.7285828696812,195.18964477917376,0.0,0.0,336.26070039243353,683.3259358581626,827.668186069297,0.0,0.0,623.7580321879447,692.5729356413106,649.9334974938672,0.0,635.7731063121381
2020-05-27 23:32:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.42344307357126,162.703092817047,195.2146653862626,0.0,0.0,339.8688806272348,684.137517476142,825.6795085634445,0.0,0.0,624.0607111201019,693.2286160300305,653.9099767462238,0.0,635.2643010051779
2020-05-27 23:33:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.79335574998882,161.9025084452787,196.04484569230107,0.0,0.0,334.80209110472026,686.0153091200061,823.3633460715199,0.0,0.0,624.6832570802644,690.4494409319291,645.5856892861539,0.0,635.1021217605513
2020-05-27 23:34:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.8809525949066,163.70106687229946,195.37057936188455,0.0,0.0,332.9368024818808,685.2352108301726,823.2874593050697,0.0,0.0,625.5868197552787,689.7144801374664,642.8279460861224,0.0,635.479234411415
2020-05-27 23:35:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.80074694570106,163.37378311220345,196.01077058039397,0.0,0.0,330.86416469962,689.3251099827174,822.7822536837538,0.0,0.0,623.2842703679352,691.1892752644446,638.5354795445271,0.0,635.6275735604866
2020-05-27 23:36:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.58768853178736,162.49299420482623,196.69133547076183,0.0,0.0,333.3343751495996,691.6774372802496,822.6221930787673,0.0,0.0,619.6081271905583,691.2184978409242,638.9463826383158,0.0,634.5848445664262
2020-05-27 23:37:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.36281849809603,163.3588383690538,196.70289604403078,0.0,0.0,330.0581210470363,691.319578260161,820.8250541233291,0.0,0.0,615.6936376466824,694.8781545930912,640.5056524346921,0.0,634.3180335692485
2020-05-27 23:38:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.3815997350044,164.21489495839145,195.65513316906313,0.0,0.0,328.19527358483487,689.9904289591864,821.3605123040986,0.0,0.0,616.6386425435859,696.5787017609771,639.342351659993,0.0,634.8952636528913
2020-05-27 23:39:04.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.31628122438272,162.6823768159934,195.09831453706232,0.0,0.0,21548.54169662131,695.8722331865995,821.0096318088795,0.0,0.0,1108.3977109382329,709.5341958995829,635.2378731913639,0.0,845.2962404002654
