Time,plume,cbpoint,chplume,chole,qsun
2018-10-29 17:07:09.350,754669.0,1096097.0,465282.0,527662.0,952174.0
2018-10-29 17:08:09.350,751675.0,1091538.0,465529.0,526541.0,951716.0
2018-10-29 17:09:09.350,750556.0,1092025.0,464721.0,523609.0,950580.0
2018-10-29 17:10:09.350,748196.0,1090263.0,463186.0,522195.0,954428.0
2018-10-29 17:11:09.350,746634.0,1095506.0,461346.0,524874.0,953549.0
2018-10-29 17:12:09.350,744558.0,1092991.0,462194.0,526407.0,953456.0
2018-10-29 17:13:09.350,744337.0,1097092.0,462573.0,524656.0,957425.0
2018-10-29 17:14:09.350,741222.0,1094214.0,461847.0,529782.0,960190.0
2018-10-29 17:15:09.350,739338.0,1091734.0,460051.0,530030.0,964321.0
2018-10-29 17:16:09.350,740376.0,1089089.0,456454.0,528273.0,964562.0
2018-10-29 17:17:09.350,740805.0,1088733.0,456429.0,530867.0,967319.0
2018-10-29 17:18:09.350,741655.0,1087911.0,457041.0,531098.0,968200.0
2018-10-29 17:19:09.350,742623.0,1085465.0,454316.0,530768.0,964242.0
2018-10-29 17:20:09.350,740750.0,1085459.0,453971.0,528940.0,962790.0
2018-10-29 17:21:09.350,740655.0,1089184.0,452232.0,530275.0,961795.0
2018-10-29 17:22:09.350,741811.0,1088419.0,451402.0,530565.0,965800.0
2018-10-29 17:23:09.350,743607.0,1084496.0,452554.0,528998.0,965768.0
2018-10-29 17:24:09.350,744899.0,1085055.0,451715.0,525801.0,966159.0
2018-10-29 17:25:09.350,745443.0,1085317.0,451755.0,521998.0,966802.0
2018-10-29 17:26:09.350,748520.0,1080475.0,451585.0,519685.0,967619.0
2018-10-29 17:27:09.350,750425.0,1082423.0,452268.0,517834.0,971181.0
2018-10-29 17:28:09.350,749506.0,1080674.0,455540.0,515910.0,970539.0
2018-10-29 17:29:09.350,751344.0,1077689.0,454630.0,513048.0,969302.0
2018-10-29 17:30:09.350,751350.0,1075050.0,455878.0,513180.0,969330.0
2018-10-29 17:31:09.350,752978.0,1077440.0,457097.0,509940.0,970712.0
2018-10-29 17:32:09.350,753794.0,1078581.0,453613.0,509439.0,972273.0
2018-10-29 17:33:09.350,749350.0,1077044.0,450946.0,508963.0,972634.0
2018-10-29 17:34:09.350,750588.0,1080277.0,455068.0,507267.0,973787.0
2018-10-29 17:35:09.350,750253.0,1083982.0,454516.0,504322.0,976656.0
2018-10-29 17:36:09.350,752262.0,1087346.0,452870.0,504595.0,978186.0
2018-10-29 17:37:09.350,753439.0,1092243.0,452578.0,502718.0,979381.0
2018-10-29 17:38:09.350,754019.0,1095899.0,450679.0,501872.0,984811.0
2018-10-29 17:39:09.350,753814.0,1092896.0,450507.0,503689.0,986971.0
2018-10-29 17:40:09.350,752199.0,1099051.0,451294.0,501993.0,983503.0
2018-10-29 17:41:09.350,751848.0,1106627.0,450592.0,500526.0,983083.0
2018-10-29 17:42:09.350,752624.0,1105954.0,450052.0,501286.0,990196.0
2018-10-29 17:43:09.350,752485.0,1110046.0,450367.0,499750.0,993686.0
2018-10-29 17:44:09.350,751638.0,1113276.0,450450.0,499215.0,999596.0
