Time,plume,cbpoint,chplume,chole,qsun
2018-10-29 16:00:09.350,1338444.0,1670964.0,1597611.0,1407088.0,1383298.0
2018-10-29 16:01:09.350,1339986.0,1674006.0,1592885.0,1404428.0,1382801.0
2018-10-29 16:02:09.350,1341023.0,1666958.0,1589616.0,1404796.0,1391075.0
2018-10-29 16:03:09.350,1341950.0,1667487.0,1589169.0,1403916.0,1394638.0
2018-10-29 16:04:09.350,1345143.0,1663460.0,1588441.0,1403307.0,1396080.0
2018-10-29 16:05:09.350,1346169.0,1661911.0,1582879.0,1404137.0,1398361.0
2018-10-29 16:06:09.350,1343470.0,1656995.0,1586393.0,1409742.0,1403124.0
2018-10-29 16:07:09.350,1340711.0,1661141.0,1583304.0,1404650.0,1397646.0
2018-10-29 16:08:09.350,1341557.0,1667219.0,1579422.0,1399208.0,1398353.0
2018-10-29 16:09:09.350,1342158.0,1669168.0,1573387.0,1399387.0,1396202.0
2018-10-29 16:10:09.350,1346710.0,1673333.0,1568801.0,1398701.0,1397245.0
2018-10-29 16:11:09.340,1353053.0,1679312.0,1567353.0,1400095.0,1397547.0
2018-10-29 16:12:09.350,1353777.0,1677021.0,1571205.0,1400349.0,1399897.0
2018-10-29 16:13:09.350,1353757.0,1673524.0,1573180.0,1398588.0,1397578.0
2018-10-29 16:14:09.350,1358405.0,1671338.0,1577208.0,1398002.0,1401806.0
2018-10-29 16:15:09.350,1365839.0,1670242.0,1578138.0,1400762.0,1401953.0
2018-10-29 16:16:09.350,1362808.0,1671781.0,1574375.0,1403374.0,1403982.0
2018-10-29 16:17:09.350,1361126.0,1674056.0,1564837.0,1400089.0,1403408.0
2018-10-29 16:18:09.350,1357338.0,1669608.0,1562719.0,1399533.0,1398937.0
2018-10-29 16:19:09.350,1361258.0,1663915.0,1558354.0,1402619.0,1402050.0
2018-10-29 16:20:09.350,1356036.0,1661962.0,1558371.0,1402138.0,1401720.0
2018-10-29 16:21:09.340,1352130.0,1657174.0,1555255.0,1399362.0,1403249.0
2018-10-29 16:22:09.350,1355246.0,1658208.0,1552766.0,1398267.0,1403978.0
2018-10-29 16:23:09.340,1355042.0,1667231.0,1554105.0,1396651.0,1408634.0
2018-10-29 16:24:09.350,1356875.0,1667380.0,1554202.0,1394606.0,1410780.0
2018-10-29 16:25:09.350,1356350.0,1664884.0,1555125.0,1386594.0,1406089.0
2018-10-29 16:26:09.350,1359068.0,1659483.0,1552381.0,1383033.0,1403263.0
2018-10-29 16:27:09.350,1361252.0,1657858.0,1551218.0,1387269.0,1406443.0
2018-10-29 16:28:09.350,1365708.0,1654952.0,1547197.0,1386678.0,1412741.0
2018-10-29 16:29:09.350,1364599.0,1654013.0,1541626.0,1386547.0,1415584.0
2018-10-29 16:30:09.350,1360115.0,1656285.0,1539245.0,1386980.0,1418685.0
2018-10-29 16:31:09.350,1358568.0,1661736.0,1535416.0,1384588.0,1416627.0
2018-10-29 16:32:09.350,1359509.0,1667730.0,1535485.0,1386346.0,1419427.0
2018-10-29 16:33:09.350,1359981.0,1677295.0,1534056.0,1392709.0,1415279.0
2018-10-29 16:34:09.350,1360143.0,1684513.0,1533951.0,1398991.0,1416738.0
2018-10-29 16:35:09.350,1359661.0,1686224.0,1532641.0,1398094.0,1418167.0
2018-10-29 16:36:09.350,1359133.0,1694583.0,1525786.0,1404864.0,1410321.0
2018-10-29 16:37:09.350,1362406.0,1692169.0,1524606.0,1398973.0,1413264.0
2018-10-29 16:38:09.350,1363718.0,1689912.0,1520578.0,1398835.0,1410225.0
2018-10-29 16:39:09.350,1364405.0,1695546.0,1523767.0,1396159.0,1412245.0
2018-10-29 16:40:09.350,1367733.0,1698522.0,1518681.0,1398246.0,1408375.0
2018-10-29 16:41:09.350,1369674.0,1696089.0,1517069.0,1399614.0,1408298.0
2018-10-29 16:42:09.350,1370233.0,1690351.0,1519181.0,1396592.0,1409070.0
2018-10-29 16:43:09.350,1370661.0,1680640.0,1517499.0,1392742.0,1410277.0
2018-10-29 16:44:09.350,1372441.0,1680232.0,1520565.0,1386427.0,1410362.0
2018-10-29 16:45:09.350,1370474.0,1678701.0,1507129.0,1383714.0,1410872.0
2018-10-29 16:46:09.350,1368848.0,1671403.0,1506664.0,1383978.0,1411257.0
2018-10-29 16:47:09.350,1368909.0,1665772.0,1505044.0,1384998.0,1415988.0
2018-10-29 16:48:09.350,1370317.0,1666555.0,1502004.0,1382784.0,1420726.0
2018-10-29 16:49:09.350,1370236.0,1671729.0,1501116.0,1382149.0,1421127.0
2018-10-29 16:50:09.350,1371838.0,1676047.0,1501044.0,1377776.0,1417174.0
2018-10-29 16:51:09.350,1372086.0,1673948.0,1500371.0,1384052.0,1415433.0
2018-10-29 16:52:09.350,1374392.0,1668942.0,1495149.0,1385416.0,1415494.0
2018-10-29 16:53:09.350,1378525.0,1669837.0,1493257.0,1384027.0,1414517.0
2018-10-29 16:54:09.350,1384744.0,1665909.0,1488651.0,1382127.0,1407198.0
2018-10-29 16:55:09.350,1388501.0,1665199.0,1485549.0,1381601.0,1406584.0
2018-10-29 16:56:09.350,1394870.0,1662782.0,1485093.0,1381998.0,1404522.0
2018-10-29 16:57:09.350,1394318.0,1657809.0,1484204.0,1385668.0,1403400.0
2018-10-29 16:58:09.350,1400317.0,1651266.0,1484862.0,1385465.0,1403710.0
2018-10-29 16:59:09.350,1402746.0,1651838.0,1482891.0,1378259.0,1398119.0
2018-10-29 17:00:09.350,1403661.0,1652812.0,1482079.0,1378148.0,1395729.0
2018-10-29 17:01:09.350,1405377.0,1660981.0,1483475.0,1371976.0,1394132.0
2018-10-29 17:02:09.350,1408242.0,1660857.0,1485077.0,1369821.0,1391672.0
2018-10-29 17:03:09.350,1409488.0,1661111.0,1486288.0,1365943.0,1392583.0
2018-10-29 17:04:09.350,1408319.0,1659106.0,1486768.0,1366174.0,1388538.0
2018-10-29 17:05:09.350,1411503.0,1660646.0,1486242.0,1365182.0,1388487.0
2018-10-29 17:06:09.350,1412280.0,1663634.0,1482691.0,1368643.0,1387078.0
2018-10-29 17:07:09.350,1412192.0,1667800.0,1474926.0,1367859.0,1386030.0
2018-10-29 17:08:09.350,1414570.0,1666301.0,1473162.0,1364193.0,1384484.0
2018-10-29 17:09:09.350,1414647.0,1664551.0,1469545.0,1363799.0,1385927.0
2018-10-29 17:10:09.350,1413829.0,1660485.0,1473147.0,1362600.0,1383732.0
2018-10-29 17:11:09.350,1412976.0,1657894.0,1467778.0,1364509.0,1378980.0
2018-10-29 17:12:09.350,1409927.0,1656374.0,1468498.0,1364834.0,1378036.0
2018-10-29 17:13:09.350,1413169.0,1657078.0,1466378.0,1365456.0,1377299.0
2018-10-29 17:14:09.350,1415833.0,1653179.0,1464588.0,1365616.0,1376752.0
