Time,ch_open_flux,ch_bpoint_flux
2018-10-28 00:00:00,-1.3080015e+19,6.3767888e+19
2018-10-28 00:12:00,-1.3307031e+19,6.847705e+19
2018-10-28 00:24:00,-1.2536547e+19,8.740412e+19
2018-10-28 00:36:00,-1.2589851e+19,1.0233764e+20
2018-10-28 00:48:00,-1.2052612e+19,8.876795e+19
2018-10-28 01:00:00,-1.2812947e+19,9.26282e+19
2018-10-28 01:12:00,-1.2532393e+19,9.505322e+19
2018-10-28 01:24:00,-1.2232951e+19,9.153834e+19
2018-10-28 01:36:00,-1.292515e+19,1.0116745e+20
2018-10-28 01:48:00,-1.2808674e+19,1.0429097e+20
2018-10-28 02:00:00,-1.3029241e+19,1.2483221e+20
2018-10-28 02:12:00,-1.3261039e+19,9.680895e+19
2018-10-28 02:24:00,-1.2709558e+19,7.4907625e+19
2018-10-28 02:36:00,-1.3298039e+19,1.0603839e+20
2018-10-28 02:48:00,-1.2763941e+19,1.1042822e+20
2018-10-28 03:00:00,-1.2797238e+19,1.272783e+20
2018-10-28 03:12:00,-1.1715225e+19,1.3054554e+20
2018-10-28 03:24:00,-1.1505168e+19,1.2286415e+20
2018-10-28 03:36:00,-1.1985416e+19,1.0879964e+20
2018-10-28 03:48:00,-1.0733014e+19,1.0069917e+20
2018-10-28 04:00:00,-1.0752206e+19,1.2077866e+20
2018-10-28 04:12:00,-1.1548707e+19,1.2710207e+20
2018-10-28 04:24:00,-1.1284422e+19,9.8640205e+19
2018-10-28 04:36:00,-1.1692024e+19,1.0530909e+20
2018-10-28 04:48:00,-1.1332343e+19,1.27929145e+20
2018-10-28 05:00:00,-1.2493218e+19,1.2316858e+20
2018-10-28 05:12:00,-1.1876881e+19,1.3451568e+20
2018-10-28 05:24:00,-1.17315e+19,1.3253531e+20
2018-10-28 05:36:00,-1.0828286e+19,1.2873933e+20
2018-10-28 05:48:00,-1.2351869e+19,1.0792416e+20
2018-10-28 06:00:00,-1.313179e+19,1.0610246e+20
2018-10-28 06:12:00,-1.2949354e+19,1.06743175e+20
2018-10-28 06:24:00,-1.3426629e+19,1.0490372e+20
