Time,Br,Vr,Np,T,Mass Flux
2018-10-31 09:11:00,-33.246685,367.22333,146.15121,70.69954,55134.863
2018-10-31 09:12:00,-36.89297,361.43204,156.81984,71.14487,58391.688
2018-10-31 09:13:00,-31.340902,370.2019,150.30502,72.500755,57561.97
2018-10-31 09:14:00,-27.095407,374.84332,159.96788,76.20069,62663.78
2018-10-31 09:15:00,-25.143545,377.3325,162.63745,75.96349,64411.312
2018-10-31 09:16:00,-22.822918,381.57007,154.88846,77.30131,60959.402
2018-10-31 09:17:00,-25.605696,376.815,159.31999,77.525375,62432.33
2018-10-31 09:18:00,-27.798767,371.79456,153.9021,76.50103,58814.438
2018-10-31 09:19:00,-26.42739,372.15195,148.25458,75.30781,56771.613
2018-10-31 09:20:00,-31.495953,360.221,159.38043,74.67024,59480.97
2018-10-31 09:21:00,-24.518831,372.37866,172.6859,77.78757,68624.96
2018-10-31 09:22:00,-30.084682,361.29376,171.33195,75.33028,65633.12
2018-10-31 09:23:00,-22.824102,373.17975,149.44272,77.75275,56975.957
2018-10-31 09:24:00,-34.850937,353.6128,154.33621,69.1911,58326.33
2018-10-31 09:25:00,-37.53528,345.56424,184.59631,66.45392,72491.82
2018-10-31 09:26:00,-44.493446,336.60382,134.60715,58.80879,48519.125
2018-10-31 09:27:00,-46.61078,334.8707,133.21217,58.7907,47317.793
2018-10-31 09:28:00,-38.457314,346.07584,171.30466,68.89296,62929.43
2018-10-31 09:29:00,-40.484245,343.48447,165.61313,67.07826,60076.11
2018-10-31 09:30:00,-39.290165,343.95563,159.29771,66.64191,57926.508
2018-10-31 09:31:00,-26.699644,362.4621,160.1343,74.90296,60867.6
2018-10-31 09:32:00,-29.547462,358.4832,151.98306,71.53306,57167.56
2018-10-31 09:33:00,-22.908318,367.69043,149.85614,75.51817,56888.754
2018-10-31 09:34:00,-7.725972,392.2956,141.34737,81.681496,56846.594
2018-10-31 09:35:00,-17.626799,375.1346,152.44472,77.61127,59361.97
2018-10-31 09:36:00,-26.141455,362.2161,148.13167,72.71347,54896.73
2018-10-31 09:37:00,-30.149847,354.27457,155.54778,70.073784,57159.406
2018-10-31 09:38:00,-26.352583,361.99765,156.51952,73.419014,58822.91
2018-10-31 09:39:00,-27.71308,359.70178,159.04016,72.1023,59888.85
2018-10-31 09:40:00,-5.2766585,398.9249,140.38197,80.2367,56798.72
2018-10-31 09:41:00,-6.89593,393.26236,142.29738,80.400276,57199.69
2018-10-31 09:42:00,1.3331215,406.17078,138.30661,81.9027,57379.42
2018-10-31 09:43:00,-6.147134,390.09164,149.36441,79.203575,60837.902
2018-10-31 09:44:00,-14.853038,378.5525,149.3875,77.68192,58101.785
2018-10-31 09:45:00,-23.160368,366.34018,148.2859,74.16691,55741.94
2018-10-31 09:46:00,-12.9218025,380.56985,159.81546,77.96623,64536.94
2018-10-31 09:47:00,-17.054882,374.63156,151.7756,75.57632,59154.254
2018-10-31 09:48:00,-12.999385,382.8593,141.99603,77.07522,55772.277
2018-10-31 09:49:00,-17.817446,374.5494,146.56966,75.5995,56505.055
2018-10-31 09:50:00,-26.565002,360.2883,147.28645,71.06092,54402.996
2018-10-31 09:51:00,-27.764225,358.88535,150.90027,71.167175,55714.63
2018-10-31 09:52:00,-24.263569,365.79037,147.41934,73.59255,55185.46
2018-10-31 09:53:00,-30.632235,354.87823,147.7618,69.10006,54031.04
2018-10-31 09:54:00,-30.809425,357.2558,144.77766,69.319275,52893.41
2018-10-31 09:55:00,-33.85234,351.0668,151.80821,67.23241,55365.496
2018-10-31 09:56:00,-39.75614,339.83945,154.90108,61.854053,55833.67
2018-10-31 09:57:00,-41.982037,337.56723,147.75534,59.03916,52889.61
2018-10-31 09:58:00,-48.86616,322.0877,110.005806,51.60526,37094.6
2018-10-31 09:59:00,-28.21052,358.47882,133.67268,67.01976,49576.676
2018-10-31 10:00:00,-10.367987,389.28867,135.45122,78.50491,53430.113
2018-10-31 10:01:00,-10.562675,388.46417,134.17924,77.52261,52697.438
2018-10-31 10:02:00,-4.4747868,396.32077,134.84364,77.52793,53990.562
2018-10-31 10:03:00,-18.192516,375.5559,136.0955,73.77164,51781.28
2018-10-31 10:04:00,-21.52595,370.82974,139.5334,72.58082,52659.445
2018-10-31 10:05:00,-27.382948,363.5876,137.23158,70.24067,50857.375
2018-10-31 10:06:00,-35.16464,353.10977,140.54471,67.20785,50818.977
2018-10-31 10:07:00,-43.21921,341.13712,144.39607,59.30909,52020.074
2018-10-31 10:08:00,-40.212257,343.4224,153.75961,62.140923,56044.074
2018-10-31 10:09:00,-26.07473,369.10812,144.27676,73.45752,54865.773
2018-10-31 10:10:00,-38.66931,352.40884,156.02179,69.98523,58329.008
2018-10-31 10:11:00,-39.137753,352.27057,175.09782,70.69731,66372.89
2018-10-31 10:12:00,-38.840923,352.8716,174.05089,71.40156,65790.14
2018-10-31 10:13:00,-39.118546,353.03583,166.90964,70.70571,62329.8
2018-10-31 10:14:00,-42.026287,348.9252,178.5894,70.10223,67139.27
2018-10-31 10:15:00,-41.49426,347.51785,170.22975,68.85544,63772.64
2018-10-31 10:16:00,-33.651264,358.38757,152.23878,71.0241,56741.63
2018-10-31 10:17:00,-35.357876,355.8922,153.4472,70.01471,56890.473
2018-10-31 10:18:00,-20.788149,376.0279,140.77534,74.72003,54202.18
2018-10-31 10:19:00,-29.488245,363.16562,150.18732,72.43849,56499.68
